name,price,link
BORNAGHI T5 MAGNUM .12/76 50 G,1.01 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/bornaghi/bornaghi-t5-magnum-12-76-50-g-_rk3sdz/
S&B .12/76 BUCK SHOT MAGNUM 53 G,1.02 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sb-12-76-buck-shot-magnum-53-g-_jorsoe/
ZALA SLUG ZALA .12/70 32 G CARTRIDGE,1.12 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/zala-arms/zala-slug-zala-12-70-32-g-cartridge-_bkfu5u/
"MIRAGE SOFT STEEL T3 SUPER MAGNUM 12/89 39 G NR 3 3,3 MM CARTRIDGE",1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/mirage-soft-steel-t3-super-magnum-12-89-39-g-nr-3-33-mm-cartridge-_myd658/
"MIRAGE SOFT STEEL T3 SUPER MAGNUM 12/89 39 G NR 1 3,7 MM CARTRIDGE",1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/clever/mirage-soft-steel-t3-super-magnum-12-89-39-g-nr-1-37-mm-cartridge-_97c5x9/
"S&B .12/63,5 PRACTICAL SLUG 32 G",1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/sellierandbellot/sb-12-635-practical-slug-32-g-_n7y7is/
WINCHESTER BUCKSHOT .12/70 38 G,1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/winchester/winchester-buckshot-12-70-38-g-_a9oizd/
ROTTWEIL RW FE .12/70 36 G,1.22 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/rottweil/rottweil-rw-fe-12-70-36-g-_3xvywz/
ZALA GUALANDI SLUG .12/70 32 G CARTRIDGE,1.38 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/zala-arms/zala-gualandi-slug-12-70-32-g-cartridge-_xtetxv/
ZALA CHOKE .12/70 28 G,1.38 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/shotgun/zala-arms/zala-choke-12-70-28-g-_rtrjnk/
